vehicle_id,report_date,shift,vehicle_model,department_unit,stay_h,engine_h,idle_h,fuel_l,rate_fact,norm,load_pct,util_pct
0770ОЕ72,2026-02-09,Вечер,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,0.50,0.00,0.50,0.0,0.00,9.5,0.0,0.0
0770ОЕ72,2026-02-09,День,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,11.50,11.21,0.29,40.6,3.62,9.5,100.0,97.5
0770ОЕ72,2026-02-10,Вечер,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,0.48,0.00,0.48,0.0,0.00,9.5,0.0,0.0
0770ОЕ72,2026-02-10,День,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,11.50,10.39,1.11,34.4,3.31,9.5,98.5,90.3
0790ОК72,2026-02-04,Вечер,Экскаватор Komatsu PC-300-8,СМУ Амурская область,11.92,2.48,9.44,25.9,10.43,16.4,22.7,20.8
0790ОК72,2026-02-04,День,Экскаватор Komatsu PC-300-8,СМУ Амурская область,11.99,1.98,10.02,28.2,14.26,16.4,18.0,16.5
0790ОК72,2026-02-05,Вечер,Экскаватор Komatsu PC-300-8,СМУ Амурская область,0.49,0.49,0.00,14.0,28.62,16.4,100.0,100.0
0790ОК72,2026-02-05,День,Экскаватор Komatsu PC-300-8,СМУ Амурская область,11.99,11.99,0.00,111.2,9.27,16.4,100.0,100.0
0790ОК72,2026-02-06,Вечер,Экскаватор Komatsu PC-300-8,СМУ Амурская область,12.00,12.00,0.00,52.8,4.40,16.4,100.0,100.0
0790ОК72,2026-02-06,День,Экскаватор Komatsu PC-300-8,СМУ Амурская область,11.50,9.80,1.70,86.7,8.85,16.4,93.0,85.2
0790ОК72,2026-02-07,Вечер,Экскаватор Komatsu PC-300-8,СМУ Амурская область,11.99,11.24,0.75,46.3,4.12,16.4,100.0,93.8
0790ОК72,2026-02-07,День,Экскаватор Komatsu PC-300-8,СМУ Амурская область,12.00,9.03,2.97,61.5,6.81,16.4,82.1,75.2
0790ОК72,2026-02-08,Вечер,Экскаватор Komatsu PC-300-8,СМУ Амурская область,12.00,12.00,0.00,96.3,8.03,16.4,100.0,100.0
0790ОК72,2026-02-08,День,Экскаватор Komatsu PC-300-8,СМУ Амурская область,12.00,10.09,1.91,62.5,6.19,16.4,91.7,84.1
0790ОК72,2026-02-09,Вечер,Экскаватор Komatsu PC-300-8,СМУ Амурская область,11.98,11.98,0.00,73.8,6.16,16.4,100.0,100.0
0790ОК72,2026-02-09,День,Экскаватор Komatsu PC-300-8,СМУ Амурская область,12.00,9.69,2.31,50.5,5.21,16.4,88.1,80.7
0790ОК72,2026-02-10,Вечер,Экскаватор Komatsu PC-300-8,СМУ Амурская область,0.48,0.48,0.00,1.8,3.73,16.4,100.0,100.0
0790ОК72,2026-02-10,День,Экскаватор Komatsu PC-300-8,СМУ Амурская область,12.00,8.25,3.75,50.7,6.14,16.4,75.0,68.8
0790ОК72,2026-02-11,Вечер,Экскаватор Komatsu PC-300-8,СМУ Амурская область,11.96,11.96,0.00,87.3,7.30,16.4,100.0,100.0
0790ОК72,2026-02-11,День,Экскаватор Komatsu PC-300-8,СМУ Амурская область,11.50,8.61,2.89,73.2,8.50,16.4,81.7,74.9
